OrderPriority,OrderPriorityPrice,OrderDate,OrderNumber,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,ProductDepartment,Container,ProductCategory,ProductName,CustomerSegment,CustomerID,CustomerName,Region,State,CountryRegion,City,PostalCode,ShipDate,ShipMode
Not Specified,0,12-01-10,20549,0.09,28,40,20,0.67,Office Supplies,Small Box,Storage and Organization,Fellowes Super Stor/Drawer®,Corporate,747,Carl McLean,Asia Pacific,Central,Fiji,Suva,0,13-01-10,Regular Air
Medium,7,12-01-10,27813,0.1,41,10,7,0.74,Technology,Small Box,Computer Peripherals,Targus USB Numeric Keypad,Consumer,2068,Janet May,Asia Pacific,Gujarat,India,Ahmedabad,320008,14-01-10,Regular Air
Not Specified,0,12-01-10,37862,0.01,60,27,4,0.57,Office Supplies,Small Box,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Corporate,1440,Carole Gray,Europe; the Middle East and Africa,Madrid,Spain,Madrid,28001,15-01-10,Regular Air
Low,5,12-01-10,89448,0.05,351,3,39,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,Global Leather Executive Chair,Home Office,1424,Robyn Zhou,North America,Colorado,United States of America,Englewood,80112,14-01-10,Delivery Truck
Low,5,12-01-10,89448,0,9,7,1,0.38,Office Supplies,Small Box,Envelopes,#10- 4 1/8inch x 9 1/2inch Recycled Envelopes,Home Office,1424,Robyn Zhou,North America,Colorado,United States of America,Englewood,80112,16-01-10,Regular Air
Low,5,12-01-10,89448,0.02,2,11,1,0.83,Office Supplies,Wrap Bag,Rubber Bands,Brites Rubber Bands; 1 1/2 oz. Box,Home Office,1424,Robyn Zhou,North America,Colorado,United States of America,Englewood,80112,16-01-10,Regular Air
Not Specified,0,12-01-10,91200,0.09,28,10,20,0.67,Office Supplies,Small Box,Storage and Organization,Fellowes Super Stor/Drawer®,Corporate,750,Jordan Wilkinson,North America,Kentucky,United States of America,Florence,41042,13-01-10,Regular Air
Medium,7,12-01-10,88554,0.1,41,3,7,0.74,Technology,Small Box,Computer Peripherals,Targus USB Numeric Keypad,Consumer,2069,Elsie Boykin,North America,Kentucky,United States of America,Fort Thomas,41075,14-01-10,Regular Air
Critical,15,12-01-10,91228,0.03,351,11,30,0.61,Furniture,Jumbo Drum,Chairs and Chairmats,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Consumer,2776,April Henson,North America,Maryland,United States of America,Gaithersburg,20877,15-01-10,Delivery Truck
Critical,15,12-01-10,91228,0.04,2,8,1,0.35,Office Supplies,Wrap Bag,Pens and Art Supplies,Prang Dustless Chalk Sticks,Consumer,2776,April Henson,North America,Maryland,United States of America,Gaithersburg,20877,14-01-10,Regular Air
Low,5,13-01-10,90058,0.02,48,3,5,0.37,Office Supplies,Small Box,Paper,Xerox 1910,Corporate,510,Gregory Rao,North America,California,United States of America,Manteca,95336,13-01-10,Regular Air
Low,5,13-01-10,90408,0.07,6,13,6,0.36,Office Supplies,Small Box,Paper,Xerox 1903,Consumer,2369,Mike G Hartman,North America,Florida,United States of America,Pembroke Pines,33024,15-01-10,Regular Air
Critical,15,13-01-10,91480,0.06,2,4,5,0.43,Furniture,Small Box,Office Furnishings,Eldon® Wave Desk Accessories,Home Office,2338,Lynn Hines,North America,Maryland,United States of America,College Park,20740,13-01-10,Regular Air
Critical,15,14-01-10,89704,0.08,116,5,56,0.4,Technology,Jumbo Drum,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Home Office,1636,Sidney Greenberg,North America,California,United States of America,Salinas,93905,16-01-10,Delivery Truck
Critical,15,14-01-10,89704,0.08,4,7,1,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 336,Home Office,1636,Sidney Greenberg,North America,California,United States of America,Salinas,93905,17-01-10,Regular Air
Not Specified,0,14-01-10,86507,0.1,208,4,68,0.58,Office Supplies,Jumbo Drum,Appliances,1.7 Cubic Foot Compact inchCubeinch Office Refrigerators,Small Business,3225,Robyn Crawford,North America,Tennessee,United States of America,Germantown,38138,14-01-10,Delivery Truck
Not Specified,0,14-01-10,86507,0.07,90,2,20,0.4,Office Supplies,Small Box,Envelopes,Tyvek® Side-Opening Peel and Seel® Expanding Envelopes,Small Business,3226,Arthur Gold,North America,Tennessee,United States of America,Hendersonville,37075,15-01-10,Regular Air
Not Specified,0,14-01-10,86507,0.01,9,1,7,0.45,Furniture,Small Pack,Office Furnishings,DAX Two-Tone Rosewood/Black Document Frame; Desktop; 5 x 7,Small Business,3226,Arthur Gold,North America,Tennessee,United States of America,Hendersonville,37075,16-01-10,Express Air
Not Specified,0,14-01-10,86507,0.02,4,4,1,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 336,Small Business,3226,Arthur Gold,North America,Tennessee,United States of America,Hendersonville,37075,15-01-10,Regular Air
Critical,15,14-01-10,88666,0.08,8,7,9,0.58,Office Supplies,Small Box,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Small Business,772,Jean Webster,North America,Pennsylvania,United States of America,Allentown,18103,16-01-10,Regular Air
Critical,15,14-01-10,88666,0.1,19,3,10,0.37,Office Supplies,Small Box,Paper,Xerox 1939,Small Business,772,Jean Webster,North America,Pennsylvania,United States of America,Allentown,18103,16-01-10,Express Air
Medium,7,14-01-10,89716,0.06,20,7,11,0.6,Furniture,Large Box,Office Furnishings,Telescoping Adjustable Floor Lamp,Corporate,3148,Leroy Field,North America,Idaho,United States of America,Post Falls,83854,14-01-10,Regular Air
Medium,7,14-01-10,89716,0.06,321,6,59,0.57,Furniture,Jumbo Drum,Chairs and Chairmats,Hon 4070 Series Pagoda  Round Back Stacking Chairs,Corporate,3149,Harriet Moore,North America,Idaho,United States of America,Rexburg,83440,16-01-10,Delivery Truck
High,10,15-01-10,12676,0.08,8,25,8,0.49,Furniture,Small Box,Office Furnishings,6inch Cubicle Wall Clock; Black,Home Office,1631,Sandra Copeland,Europe; the Middle East and Africa,Istanbul,Turkey,Istanbul,34000,16-01-10,Express Air
Not Specified,0,15-01-10,37729,0,9,48,6,0.38,Office Supplies,Small Box,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Corporate,1402,Wesley Tate,North America,Illinois,United States of America,Chicago,60653,15-01-10,Regular Air
Medium,7,15-01-10,48773,0.06,7,7,2,0.38,Office Supplies,Wrap Bag,Paper,Wirebound Message Books; 2 7/8inch x 5inch; 3 Forms per Page,Small Business,140,Anita Brock,Europe; the Middle East and Africa,Catalun?a,Spain,Barcelona,8001,17-01-10,Regular Air
Low,5,15-01-10,89128,0.01,5,10,5,0.36,Office Supplies,Small Box,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Home Office,3035,Tina Evans,North America,Illinois,United States of America,Lombard,60148,20-01-10,Regular Air
Low,5,15-01-10,89128,0.04,6,12,1,0.39,Office Supplies,Wrap Bag,Paper,Telephone Message Books with Fax/Mobile Section; 5 1/2inch x 3 3/16inch,Home Office,3035,Tina Evans,North America,Illinois,United States of America,Lombard,60148,20-01-10,Regular Air
High,10,15-01-10,90530,0.08,8,6,8,0.49,Furniture,Small Box,Office Furnishings,6inch Cubicle Wall Clock; Black,Home Office,1632,Lori Wolfe,North America,Mississippi,United States of America,Hattiesburg,39401,16-01-10,Express Air
Critical,15,15-01-10,89520,0.09,3,2,1,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 335,Consumer,152,Kent Kerr,North America,Tennessee,United States of America,Knoxville,37918,16-01-10,Regular Air
Not Specified,0,15-01-10,86144,0,9,12,6,0.38,Office Supplies,Small Box,Binders and Binder Accessories,Avery Printable Repositionable Plastic Tabs,Corporate,1405,Crystal Floyd,North America,Michigan,United States of America,Battle Creek,49017,15-01-10,Regular Air
Medium,7,15-01-10,91086,0.06,7,2,2,0.38,Office Supplies,Wrap Bag,Paper,Wirebound Message Books; 2 7/8inch x 5inch; 3 Forms per Page,Small Business,145,Rhonda Ivey,North America,Pennsylvania,United States of America,West Mifflin,15122,17-01-10,Regular Air
Critical,15,16-01-10,2370,0.02,111,6,14,0.69,Furniture,Medium Box,Office Furnishings,Rubbermaid ClusterMat Chairmats; Mat Size- 66inch x 60inch; Lip 20inch x 11inch -90 Degree Angle,Consumer,2921,Dean Shapiro Britt,Asia Pacific,Soul,Republic of Korea,Seoul,1020,18-01-10,Regular Air
Low,5,16-01-10,22147,0.04,23,37,9,0.44,Furniture,Small Pack,Office Furnishings,Executive Impressions 14inch Two-Color Numerals Wall Clock,Corporate,667,Allison Kirby,North America,Texas,United States of America,Dallas,75203,20-01-10,Regular Air
Low,5,16-01-10,30915,0.04,3,20,2,0.57,Office Supplies,Wrap Bag,Pens and Art Supplies,Premium Writing Pencils; Soft; #2 by Central Association for the Blind,Corporate,3383,Nicole Sawyer,Europe; the Middle East and Africa,Istanbul,Turkey,Istanbul,34000,16-01-10,Express Air
Low,5,16-01-10,30915,0.01,126,25,9,0.59,Technology,Small Box,Telephones and Communication,M70,Corporate,3383,Nicole Sawyer,Europe; the Middle East and Africa,Istanbul,Turkey,Istanbul,34000,21-01-10,Regular Air
Critical,15,16-01-10,86591,0.02,111,2,14,0.69,Furniture,Medium Box,Office Furnishings,Rubbermaid ClusterMat Chairmats; Mat Size- 66inch x 60inch; Lip 20inch x 11inch -90 Degree Angle,Consumer,2924,Courtney Nelson,North America,Maryland,United States of America,Laurel,20707,18-01-10,Regular Air
Critical,15,16-01-10,86591,0.01,8,8,3,0.4,Office Supplies,Wrap Bag,Paper,TOPS Money Receipt Book; Consecutively Numbered in Red;,Consumer,2924,Courtney Nelson,North America,Maryland,United States of America,Laurel,20707,18-01-10,Regular Air
Low,5,16-01-10,88677,0.04,23,9,9,0.44,Furniture,Small Pack,Office Furnishings,Executive Impressions 14inch Two-Color Numerals Wall Clock,Corporate,665,Miriam Mueller,North America,Tennessee,United States of America,Murfreesboro,37130,20-01-10,Regular Air
Low,5,16-01-10,88745,0.04,3,5,2,0.57,Office Supplies,Wrap Bag,Pens and Art Supplies,Premium Writing Pencils; Soft; #2 by Central Association for the Blind,Corporate,3385,Daniel Richmond,North America,Ohio,United States of America,Boardman,44512,16-01-10,Express Air
Low,5,16-01-10,88745,0.01,126,6,9,0.59,Technology,Small Box,Telephones and Communication,M70,Corporate,3385,Daniel Richmond,North America,Ohio,United States of America,Boardman,44512,21-01-10,Regular Air
Medium,7,18-01-10,58784,0.06,49,29,6,0.38,Office Supplies,Small Box,Paper,Xerox 1891,Corporate,1969,Veronica Garrett,Asia Pacific,Tokyo,Japan,Tokyo,1000000,18-01-10,Regular Air
Medium,7,16-01-10,86789,0.1,6,12,8,0.39,Office Supplies,Small Box,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Corporate,3133,Kristine Singleton,North America,Illinois,United States of America,Naperville,60540,17-01-10,Regular Air
Medium,7,16-01-10,86789,0.03,2,10,1,0.52,Office Supplies,Wrap Bag,Rubber Bands,Assorted Color Push Pins,Corporate,3133,Kristine Singleton,North America,Illinois,United States of America,Naperville,60540,17-01-10,Regular Air
Critical,15,16-01-10,89679,0.09,2,9,1,0.52,Office Supplies,Wrap Bag,Rubber Bands,Stockwell Push Pins,Small Business,1603,Alex Watkins,North America,New York,United States of America,Woodmere,11598,18-01-10,Regular Air
Critical,15,16-01-10,89679,0.95,179,1,29,0.76,Furniture,Jumbo Box,Tables,Bevis Round Conference Table Top; X-Base,Small Business,1603,Alex Watkins,North America,New York,United States of America,Woodmere,11598,18-01-10,Delivery Truck
Medium,7,16-01-10,86338,0,13,9,6,0.57,Office Supplies,Small Box,Storage and Organization,Fellowes Personal Hanging Folder Files; Navy,Home Office,1697,Holly Osborne,North America,Arkansas,United States of America,Hot Springs,71901,17-01-10,Regular Air
Critical,15,17-01-10,12771,0.01,2,46,2,0.59,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 323,Small Business,590,Courtney McBride,Asia Pacific,Soul,Republic of Korea,Seoul,1020,19-01-10,Regular Air
Medium,7,17-01-10,46884,0.1,8,18,1,0.36,Office Supplies,Small Box,Envelopes,Security-Tint Envelopes,Corporate,2618,Amy Hamrick Melvin,North America,New York,United States of America,New York City,10004,19-01-10,Regular Air
Medium,7,17-01-10,46884,0,126,3,3,0.59,Technology,Small Box,Telephones and Communication,6162,Corporate,2618,Amy Hamrick Melvin,North America,New York,United States of America,New York City,10004,19-01-10,Regular Air
Medium,7,17-01-10,46884,0.1,12,25,2,0.55,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 309,Corporate,2618,Amy Hamrick Melvin,North America,New York,United States of America,New York City,10004,18-01-10,Regular Air
Medium,7,17-01-10,87347,0.05,328,6,91,0.57,Office Supplies,Jumbo Drum,Appliances,Sanyo Counter Height Refrigerator with Crisper; 3.6 Cubic Foot; Stainless Steel/Black,Small Business,366,Patrick Rosenthal,North America,Rhode Island,United States of America,Cranston,2910,19-01-10,Delivery Truck
Medium,7,17-01-10,90099,0.03,90,1,20,0.4,Office Supplies,Small Box,Envelopes,Tyvek® Side-Opening Peel and Seel® Expanding Envelopes,Corporate,1873,Lisa Kim,North America,Florida,United States of America,Palm Beach Gardens,33403,19-01-10,Regular Air
Medium,7,17-01-10,90099,0.06,23,7,8,0.39,Office Supplies,Small Box,Paper,Xerox 1991,Corporate,1873,Lisa Kim,North America,Florida,United States of America,Palm Beach Gardens,33403,17-01-10,Regular Air
Critical,15,17-01-10,86307,0.08,31,10,20,0.39,Office Supplies,Small Box,Labels,Avery 4027 File Folder Labels for Dot Matrix Printers; 5000 Labels per Box; White,Small Business,592,Eva Silverman,North America,Illinois,United States of America,Wilmette,60091,17-01-10,Regular Air
Critical,15,17-01-10,86307,0.01,2,12,2,0.59,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 323,Small Business,593,Joel Huffman,North America,Illinois,United States of America,Woodridge,60517,19-01-10,Regular Air
Medium,7,17-01-10,90786,0.06,16,8,2,0.42,Technology,Small Pack,Computer Peripherals,Maxell DVD-RAM Discs,Corporate,1719,Russell W Melton,North America,Alabama,United States of America,Northport,35473,19-01-10,Regular Air
Not Specified,0,17-01-10,88958,0.05,28,10,6,0.55,Office Supplies,Small Pack,Pens and Art Supplies,Boston Model 1800 Electric Pencil Sharpener; Gray,Home Office,2725,Katharine Hudson,North America,Tennessee,United States of America,Clarksville,37042,18-01-10,Regular Air
Medium,7,17-01-10,90473,0.05,15,3,13,0.43,Office Supplies,Small Box,Appliances,Holmes Replacement Filter for HEPA Air Cleaner; Large Room,Home Office,1702,Sandra Berry,North America,Mississippi,United States of America,Meridian,39301,20-01-10,Regular Air
Medium,7,17-01-10,90473,0.05,4,3,2,0.36,Office Supplies,Wrap Bag,Paper,Important Message Pads; 50 4-1/4 x 5-1/2 Forms per Pad,Home Office,1702,Sandra Berry,North America,Mississippi,United States of America,Meridian,39301,19-01-10,Express Air
Medium,7,18-01-10,58784,0.02,12,12,6,0.35,Office Supplies,Small Box,Envelopes,Peel and Seel® Recycled Catalog Envelopes; Brown,Corporate,1969,Veronica Garrett,Asia Pacific,Tokyo,Japan,Tokyo,1000000,19-01-10,Regular Air
Medium,7,18-01-10,58784,0.02,16,17,18,0.59,Office Supplies,Small Box,Storage and Organization,Tenex File Box; Personal Filing Tote with Lid; Black,Corporate,1969,Veronica Garrett,Asia Pacific,Tokyo,Japan,Tokyo,1000000,19-01-10,Regular Air
Medium,7,18-01-10,58784,0.05,351,25,39,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,Global Leather Executive Chair,Corporate,1969,Veronica Garrett,Asia Pacific,Tokyo,Japan,Tokyo,1000000,20-01-10,Delivery Truck
Medium,7,18-01-10,58784,0.04,16,20,9,0.49,Technology,Small Box,Office Machines,ATandT Black Trimline Phone; Model 210,Corporate,1969,Veronica Garrett,Asia Pacific,Tokyo,Japan,Tokyo,1000000,20-01-10,Express Air
High,10,18-01-10,89299,0.05,58,13,1,0.38,Office Supplies,Small Box,Binders and Binder Accessories,Avery Arch Ring Binders,Corporate,2443,Danny Richmond,North America,Florida,United States of America,Miami,33142,18-01-10,Regular Air
Medium,7,18-01-10,91550,0.02,12,3,6,0.35,Office Supplies,Small Box,Envelopes,Peel and Seel® Recycled Catalog Envelopes; Brown,Corporate,1971,Marsha Roy,North America,Mississippi,United States of America,Tupelo,38801,19-01-10,Regular Air
Medium,7,18-01-10,91550,0.05,351,6,39,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,Global Leather Executive Chair,Corporate,1972,Priscilla Brandon,North America,Pennsylvania,United States of America,Willow Grove,19090,20-01-10,Delivery Truck
Medium,7,18-01-10,91550,0.04,16,5,9,0.49,Technology,Small Box,Office Machines,ATandT Black Trimline Phone; Model 210,Corporate,1972,Priscilla Brandon,North America,Pennsylvania,United States of America,Willow Grove,19090,20-01-10,Express Air
Low,5,19-01-10,85857,0.09,3,10,1,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,Newell 340,Consumer,259,Edward Pugh,North America,New Mexico,United States of America,Santa Fe,87505,19-01-10,Regular Air
Critical,15,19-01-10,86220,0.09,207,5,1,0.55,Office Supplies,Small Box,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Consumer,3095,Milton Lindsay,North America,Ohio,United States of America,Hamilton,45011,21-01-10,Regular Air
Critical,15,19-01-10,91212,0.1,19,1,9,0.37,Office Supplies,Small Box,Paper,Computer Printout Paper with Letter-Trim Perforations,Consumer,657,Derek McCormick,North America,Massachusetts,United States of America,Oxford,1540,21-01-10,Regular Air
Critical,15,19-01-10,91212,0,120,5,56,0.39,Technology,Jumbo Box,Office Machines,Hewlett-Packard 2600DN Business Color Inkjet Printer,Consumer,659,Marjorie Arthur,North America,Vermont,United States of America,South Burlington,5403,20-01-10,Delivery Truck
High,10,20-01-10,44197,0.02,141,27,53,0.65,Furniture,Jumbo Box,Bookcases,Bush Heritage Pine Collection 5-Shelf Bookcase; Albany Pine Finish; *Special Order,Small Business,821,Sharon Payne,Asia Pacific,Beijing,China,Beijing,65001,23-01-10,Delivery Truck
Critical,15,20-01-10,86898,0.02,60,9,4,0.57,Office Supplies,Small Box,Appliances,Fellowes Smart Surge Ten-Outlet Protector; Platinum,Corporate,3155,Julian Keith Mayer,North America,Florida,United States of America,Sanford,32771,21-01-10,Regular Air
Low,5,21-01-10,37638,0.07,4,33,7,0.39,Office Supplies,Small Box,Labels,Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters; on Rolls; White; 250/Roll,Small Business,13,Ryan McKenzie,Europe; the Middle East and Africa,Addis Ababa,Ethiopia,Addis Ababa,1165,23-01-10,Regular Air
Medium,7,21-01-10,38021,0.04,280,16,23,0.59,Office Supplies,Jumbo Drum,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Corporate,2793,Terri Bond,Asia Pacific,Soul,Republic of Korea,Seoul,1020,22-01-10,Delivery Truck
Medium,7,21-01-10,38021,0.02,5,36,1,0.36,Office Supplies,Small Box,Labels,Avery 508,Corporate,2793,Terri Bond,Asia Pacific,Soul,Republic of Korea,Seoul,1020,22-01-10,Regular Air
Medium,7,21-01-10,38021,0.02,30,46,1,0.37,Office Supplies,Small Box,Binders and Binder Accessories,Premier Elliptical Ring Binder; Black,Corporate,2793,Terri Bond,Asia Pacific,Soul,Republic of Korea,Seoul,1020,23-01-10,Regular Air
High,10,21-01-10,86297,0.95,32,9,46,0.65,Furniture,Jumbo Box,Tables,Hon iLevel  Computer Training Table,Small Business,263,Carlos Hess,North America,Ohio,United States of America,Cleveland Heights,44106,23-01-10,Delivery Truck
Not Specified,0,21-01-10,90000,0.04,356,8,59,0.64,Furniture,Jumbo Drum,Chairs and Chairmats,Hon 4700 Series Mobuis  Mid-Back Task Chairs with Adjustable Arms,Home Office,1989,David Weaver,North America,Utah,United States of America,Holladay,84117,22-01-10,Delivery Truck
Not Specified,0,21-01-10,90000,0.09,20,5,9,0.37,Office Supplies,Small Box,Paper,Southworth 25% Cotton Premium Laser Paper and Envelopes,Home Office,1989,David Weaver,North America,Utah,United States of America,Holladay,84117,22-01-10,Regular Air
Medium,7,21-01-10,87316,0.08,8,10,5,0.35,Office Supplies,Small Box,Binders and Binder Accessories,XtraLife® ClearVue  Slant-D® Ring Binders by Cardinal,Corporate,2855,Vicki Womble,North America,Washington,United States of America,Des Moines,98198,22-01-10,Regular Air
Medium,7,21-01-10,87316,0.03,105,10,24,0.61,Furniture,Large Box,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Corporate,2855,Vicki Womble,North America,Washington,United States of America,Des Moines,98198,22-01-10,Regular Air
Medium,7,21-01-10,87553,0.02,5,9,1,0.36,Office Supplies,Small Box,Labels,Avery 508,Corporate,2797,Cameron Kendall,North America,Pennsylvania,United States of America,Pittsburgh,15122,22-01-10,Regular Air
Medium,7,21-01-10,87553,0.02,30,12,1,0.37,Office Supplies,Small Box,Binders and Binder Accessories,Premier Elliptical Ring Binder; Black,Corporate,2796,Cindy McLeod,North America,Iowa,United States of America,Sioux City,51106,23-01-10,Regular Air
Critical,15,21-01-10,87076,0.04,10,9,2,0.43,Technology,Small Pack,Computer Peripherals,Memorex Slim 80 Minute CD-R; 10/Pack,Home Office,1473,Paul Puckett,North America,Ohio,United States of America,Wooster,44691,22-01-10,Express Air
Critical,15,22-01-10,28225,0,20,9,14,0.47,Furniture,Small Box,Office Furnishings,Career Cubicle Clock; 8 1/4inch; Black,Corporate,1959,Bonnie Matthews Rowland,North America,Florida,United States of America,Miami,33916,22-01-10,Regular Air
Critical,15,22-01-10,89521,0.09,33,2,6,0.75,Technology,Small Box,Computer Peripherals,PC Concepts 116 Key Quantum 3000 Keyboard,Home Office,151,Geoffrey Zhu,North America,Tennessee,United States of America,Kingsport,37664,23-01-10,Regular Air
Low,5,22-01-10,86925,0.02,881,8,45,0.62,Furniture,Jumbo Box,Bookcases,Riverside Palais Royal Lawyers Bookcase; Royale Cherry Finish,Home Office,2896,Anna Ellis,North America,Minnesota,United States of America,Mankato,56001,26-01-10,Delivery Truck
Critical,15,22-01-10,90120,0.01,81,3,35,0.83,Office Supplies,Large Box,Storage and Organization,Carina 42inchHx23 3/4inchW Media Storage Unit,Corporate,1438,Jean Weiss Diaz,North America,Ohio,United States of America,Elyria,44035,24-01-10,Regular Air
High,10,22-01-10,89218,0.02,15,9,10,0.36,Office Supplies,Small Box,Binders and Binder Accessories,GBC Twin Loop  Wire Binding Elements; 9/16inch Spine; Black,Home Office,2457,Yvonne Collier,North America,Minnesota,United States of America,Lino Lakes,55014,22-01-10,Regular Air
High,10,22-01-10,89218,0.07,180,7,20,0.48,Technology,Small Box,Computer Peripherals,Motorola SB4200 Cable Modem,Home Office,2456,Joan Beach,North America,Alabama,United States of America,Mobile,36608,23-01-10,Regular Air
High,10,22-01-10,89218,0.02,92,11,40,0.67,Furniture,Medium Box,Office Furnishings,Deflect-o RollaMat Studded; Beveled Mat for Medium Pile Carpeting,Home Office,2456,Joan Beach,North America,Alabama,United States of America,Mobile,36608,23-01-10,Express Air
Medium,7,22-01-10,89872,0.07,3,12,1,0.38,Office Supplies,Small Box,Labels,Avery 498,Small Business,2873,Benjamin Gunter,North America,Florida,United States of America,Hialeah,33012,24-01-10,Regular Air
Medium,7,22-01-10,89872,0,218,10,29,0.68,Furniture,Jumbo Box,Tables,Chromcraft Bull-Nose Wood Round Conference Table Top; Wood Base,Small Business,2873,Benjamin Gunter,North America,Florida,United States of America,Hialeah,33012,23-01-10,Delivery Truck
Not Specified,0,23-01-10,90189,0,7,5,8,0.58,Office Supplies,Small Pack,Scissors; Rulers and Trimmers,Acme Design Line 8inch Stainless Steel Bent Scissors w/Champagne Handles; 3-1/8inch Cut,Consumer,1692,Rhonda Schroeder,North America,Kansas,United States of America,Newton,67114,24-01-10,Regular Air
Not Specified,0,23-01-10,90189,0.07,31,11,6,0.4,Office Supplies,Small Box,Paper,IBM Multi-Purpose Copy Paper; 8 1/2 x 11inch; Case,Consumer,1693,Melinda Thornton,North America,Virginia,United States of America,Reston,20190,25-01-10,Regular Air
Medium,7,23-01-10,91296,0.01,74,5,12,0.67,Technology,Small Box,Computer Peripherals,Keytronic 105-Key Spanish Keyboard,Small Business,3350,Amy York,North America,Washington,United States of America,Parkland,98444,25-01-10,Regular Air
Low,5,24-01-10,29319,0.1,238,30,24,0.5,Furniture,Large Box,Chairs and Chairmats,Safco Contoured Stacking Chairs,Small Business,1282,Dana Sharpe,North America,Pennsylvania,United States of America,Philadelphia,19134,26-01-10,Regular Air
Low,5,24-01-10,29319,0.03,200,21,24,0.46,Technology,Large Box,Copiers and Fax,Canon PC-428 Personal Copier,Small Business,1282,Dana Sharpe,North America,Pennsylvania,United States of America,Philadelphia,19134,26-01-10,Express Air
Low,5,24-01-10,33025,0.08,68,5,1,0.58,Office Supplies,Small Box,Appliances,Fellowes Command Center 5-outlet power strip,Small Business,992,Ruby Knox,Europe; the Middle East and Africa,Istanbul,Turkey,Istanbul,34000,29-01-10,Regular Air
High,10,24-01-10,90270,0.01,14,6,7,0.52,Office Supplies,Medium Box,Appliances,Holmes Odor Grabber,Corporate,830,Douglas Sutton,North America,Colorado,United States of America,Wheat Ridge,80033,24-01-10,Regular Air
Low,5,24-01-10,89112,0.1,238,8,24,0.5,Furniture,Large Box,Chairs and Chairmats,Safco Contoured Stacking Chairs,Small Business,1281,Pauline Denton,North America,Indiana,United States of America,Vincennes,47591,26-01-10,Regular Air
Low,5,24-01-10,89112,0.03,200,5,24,0.46,Technology,Large Box,Copiers and Fax,Canon PC-428 Personal Copier,Small Business,1281,Pauline Denton,North America,Indiana,United States of America,Vincennes,47591,26-01-10,Express Air
Low,5,24-01-10,89431,0.08,68,1,1,0.58,Office Supplies,Small Box,Appliances,Fellowes Command Center 5-outlet power strip,Small Business,997,Phillip Pollard,North America,New Jersey,United States of America,Bayonne,7002,29-01-10,Regular Air
Medium,7,24-01-10,85947,0.01,12,6,7,0.5,Office Supplies,Medium Box,Appliances,Harmony HEPA Quiet Air Purifiers,Home Office,2283,Nancy Holden,North America,Wisconsin,United States of America,Franklin,53132,26-01-10,Regular Air
Critical,15,25-01-10,88726,0.06,2,1,4,0.53,Furniture,Small Pack,Office Furnishings,Eldon Regeneration Recycled Desk Accessories; Smoke,Corporate,1389,Jean Khan,North America,California,United States of America,Menlo Park,94025,26-01-10,Regular Air
Not Specified,0,25-01-10,90333,0.1,126,4,9,0.57,Technology,Small Box,Telephones and Communication,5170i,Consumer,1997,Harriet Bowman,North America,South Carolina,United States of America,Hilton Head Island,29915,28-01-10,Regular Air
High,10,26-01-10,20422,0.01,3,5,1,0.38,Office Supplies,Small Box,Labels,Avery 498,Consumer,1359,Bradley Locklear,Asia Pacific,Moskva (city),Russian Federation,Moscow,101000,28-01-10,Regular Air
High,10,26-01-10,24544,0.08,151,31,14,0.38,Technology,Medium Box,Office Machines,Canon MP41DH Printing Calculator,Corporate,3152,Ethel Branch,Asia Pacific,Beijing,China,Beijing,65001,27-01-10,Express Air
High,10,26-01-10,24544,0.03,26,15,14,0.6,Furniture,Jumbo Drum,Chairs and Chairmats,Global Stack Chair without Arms; Black,Corporate,3152,Ethel Branch,Asia Pacific,Beijing,China,Beijing,65001,27-01-10,Delivery Truck
High,10,26-01-10,24544,0.1,32,39,35,0.81,Office Supplies,Large Box,Storage and Organization,Fellowes Neat Ideas® Storage Cubes,Corporate,3152,Ethel Branch,Asia Pacific,Beijing,China,Beijing,65001,27-01-10,Regular Air
