Product_Name,Customer_Name,Region,OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
Sharp EL500L Fraction Calculator,Molly Watson,EMEA,3,10,0.03,81,44,7,0.48,384.7
White GlueTop Scratch Pads,Molly Watson,EMEA,3,10,0.06,14,85,8,0.39,67.3
"Maxell Pro 80 Minute CD-R, 10/Pack",William Woodard,North America,3,10,0.06,15,14,2,0.39,219.34
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Lloyd Spencer,North America,3,10,0.03,17,31,2,0.45,13.44
Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Dennis Bowen,North America,1,5,0.09,8,9,6,0.36,2331.25
Sharp EL500L Fraction Calculator,Ray Oakley,North America,2,7,0.04,95,33,20,0.79,89.02
White GlueTop Scratch Pads,Ray Oakley,North America,3,10,0.06,14,21,8,0.39,12.85
AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Theodore Moran,North America,3,10,0.06,15,3,2,0.39,292
Safco Industrial Wire Shelving,Aaron Shaffer,North America,3,10,0,100,6,20,0.52,371.08
Global Troy™ Executive Leather Low-Back Tilter,Chad Henson,North America,0,0,0.03,96,9,35,0.5,4112.26
DAX Solid Wood Frames,Chad Henson,North America,3,10,0.01,501,14,26,0.6,30
Newell 329,Chad Henson,North America,3,10,0.08,10,9,6,0.48,62
"Micro Innovations Micro 3000 Keyboard, Black",Faye French,AsiaPac,3,10,0.09,3,42,1,0.59,577.44
GBC DocuBind TL200 Manual Binding Machine,Mitchell Ross,North America,2,7,0.09,26,34,6,0.75,1631.4
"Executive Impressions 13"" Chairman Wall Clock",Sharon Marcus,North America,4,15,0.03,224,21,15,0.38,316
GBC Recycled Regency Composition Covers,Alice Coley,North America,2,7,0,25,26,9,0.5,132.8
Accessory29,Ruth Lamm,North America,2,7,0.05,60,7,10,0.39,440
Boston 16701 Slimline Battery Pencil Sharpener,Pam Bennett,North America,2,7,0.08,21,28,1,0.83,342.68
Adesso Programmable 142-Key Keyboard,Steve McKee,North America,2,7,0.02,16,41,5,0.55,3557.4
Xerox 214,Ross Frederick,North America,4,15,0.07,152,35,7,0.74,10.4
Tennsco Commercial Shelving,Ross Frederick,North America,2,7,0.08,6,10,7,0.37,512.8
Eldon Simplefile® Box Office®,Constance Flowers,North America,2,7,0.01,20,33,35,0.84,922.56
"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Neal Burnette,AsiaPac,3,10,0.04,12,146,6,0.57,625.89
KI Conference Tables,Melvin George,EMEA,0,0,0.1,7,153,6,0.69,393.8
"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Hazel Jones,North America,4,15,0.1,8,19,2,0.38,40.56
T18,Hazel Jones,North America,4,15,0.03,111,38,3,0.57,2274.72
Accessory41,Kelly Collins,North America,1,5,0.07,36,5,6,0.38,49.8
i500plus,Victor Cherry,North America,1,5,0.08,66,20,6,0.58,654
Eldon Simplefile® Box Office®,Jennifer Zimmerman,North America,3,10,0.04,12,37,6,0.57,229.32
"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Lynne Wilcox,North America,0,0,0.1,7,38,6,0.69,150.94
Xerox 1939,Dale Gillespie,North America,4,15,0.04,19,5,10,0.37,21.35
Fiskars® Softgrip Scissors,Dale Gillespie,North America,4,15,0.09,11,8,3,0.57,39.24
Ibico EB-19 Dual Function Manual Binding System,Sandy Spears,Latam,1,5,0.07,173,176,20,0.08,284.48
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Sandy Spears,Latam,1,5,0.09,8,3,1,0.36,5.48
Ibico EB-19 Dual Function Manual Binding System,Penny Tuttle,North America,1,5,0.07,173,44,20,0.08,56.12
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Amy Hall,North America,1,5,0.09,8,1,1,0.36,1.16
"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Anita Kang,North America,2,7,0.04,62,40,4,0.08,95.2
Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Jean Webster,North America,1,5,0.02,4,12,7,0.6,20.84
"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",Jean Webster,North America,1,5,0.07,9,37,6,0.39,100.56
GBC Recycled Grain Textured Covers,Wayne English,North America,0,0,0.07,35,17,15,0.37,163.5
Xerox 1881,Wayne English,North America,0,0,0.02,12,9,6,0.38,32.88
Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Wayne English,North America,0,0,0.06,35,13,9,0.56,218.5
Zoom V.92 V.44 PCI Internal Controllerless FaxModem,Ronnie Armstrong,EMEA,3,10,0.05,40,14,10,0.55,270
Zoom V.92 V.44 PCI Internal Controllerless FaxModem,Ted Durham,North America,3,10,0.05,40,3,10,0.55,50
Revere Boxed Rubber Bands by Revere,Jon Ward,North America,4,15,0.1,2,20,1,0.83,28.2
"Dual Level, Single-Width Filing Carts",Troy Cassidy,North America,3,10,0.07,155,14,7,0.59,1121.4
"Dual Level, Single-Width Filing Carts",Lindsay Tate,North America,3,10,0.07,155,3,7,0.59,234.8
"Global Leather and Oak Executive Chair, Black",Frances Jackson,North America,3,10,0.07,301,14,65,0.56,1999.86
"Tennsco Lockers, Sand",Frances Jackson,North America,3,10,0.01,21,28,45,0.61,307.8
"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Jenny Gold,North America,2,7,0.1,4,88,1,0.44,118.68
Riverleaf Stik-Withit® Designer Note Cubes®,John Welch,AsiaPac,1,5,0.08,10,17,2,0.39,50.7
"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Joseph Grossman,North America,2,7,0.1,4,22,1,0.44,28.92
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Kerry Jernigan,North America,4,15,0.09,58,39,37,0.61,1139.24
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Sylvia Kumar,North America,3,10,0.1,219,17,70,0.15,97.54
Belkin MediaBoard 104- Keyboard,Carole Rosen,North America,1,5,0.02,27,3,4,0.75,55.13
Riverleaf Stik-Withit® Designer Note Cubes®,Carole Rosen,North America,1,5,0.08,10,4,2,0.39,10.4
Hon Non-Folding Utility Tables,Brenda Jain,North America,2,7,0.95,159,41,60,0.55,-2667.6
Accessory36,Brenda Jain,North America,2,7,0.06,56,33,5,0.83,1417.96
Xerox 1979,Wesley Field,North America,2,7,0.08,31,25,9,0.4,239
Okidata ML390 Turbo Dot Matrix Printers,Sally Liu,North America,4,15,0.1,442,6,15,0.56,1204.92
6185,Lillian Day,North America,0,0,0.03,206,29,3,0.58,3282.7
Acme® Forged Steel Scissors with Black Enamel Handles,Maxine Collier Grady,North America,3,10,0.01,9,61,4,0.56,297.95
Staples 6 Outlet Surge,Sharon Payne,AsiaPac,4,15,0,12,17,5,0.58,113.32
Acme® Forged Steel Scissors with Black Enamel Handles,Joanna Keith,North America,3,10,0.01,9,15,4,0.56,70.25
Avery Legal 4-Ring Binder,Marlene Davidson,North America,1,5,0.03,21,20,1,0.35,133.4
Staples 6 Outlet Surge,Marvin Hunt,North America,4,15,0,12,4,5,0.58,22.84
Microsoft Natural Multimedia Keyboard,Neil Parker,North America,1,5,0.09,51,28,7,0.73,906.92
Newell 323,Wesley Waller,North America,3,10,0.07,2,116,2,0.59,118.64
Fellowes Neat Ideas® Storage Cubes,Joel Erickson,Latam,3,10,0.09,32,68,35,0.81,1531.72
Riverleaf Stik-Withit® Designer Note Cubes®,Alex Harrell,North America,3,10,0.07,10,23,2,0.39,71.6
Newell 323,Alex Harrell,North America,3,10,0.07,2,29,2,0.59,28.16
Accessory31,Fred Barber,North America,2,7,0.01,36,41,1,0.35,500.84
Catalog Binders with Expanding Posts,Joan Oakley Schaefer,Latam,1,5,0.04,67,119,20,0.4,2850.28
"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Jason Fink,AsiaPac,1,5,0.07,17,122,6,0.58,1051.74
Catalog Binders with Expanding Posts,Jerry Webster,North America,1,5,0.04,67,30,20,0.4,703.6
"O'Sullivan Elevations Bookcase, Cherry Finish",Jerry Webster,North America,1,5,0.1,131,42,55,0.69,3191.18
Newell 318,Jerry Webster,North America,1,5,0.04,3,28,1,0.59,45.2
Peel & Stick Add-On Corner Pockets,Derek Sweeney,North America,4,15,0.01,2,24,6,0.37,11.28
Boston 1730 StandUp Electric Pencil Sharpener,Gretchen Orr,North America,4,15,0.07,21,3,9,0.59,23.76
Martin-Yale Premier Letter Opener,Troy Casey,North America,2,7,0.05,13,3,5,0.82,25.03
"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Anne Armstrong,North America,1,5,0.07,17,31,6,0.58,262.77
"Howard Miller 16"" Diameter Gallery Wall Clock",Bruce Stark,North America,2,7,0.05,64,31,14,0.46,799.44
"Soundgear Copyboard Conference Phone, Optional Battery",Ruth Lamm,North America,2,7,0.05,204,41,14,0.37,2662.48
"Global Stack Chair without Arms, Black",Rosemary Hedrick,AsiaPac,4,15,0.06,26,163,14,0.6,2274.52
"Global Stack Chair without Arms, Black",Malcolm Robertson,North America,4,15,0.06,26,41,14,0.6,561.64
Accessory25,Ann Steele,North America,0,0,0.03,21,9,1,0.57,101.06
Bevis 36 x 72 Conference Tables,Barbara McNamara,North America,4,15,0.07,124,14,52,0.63,920.16
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Patrick Adcock,North America,3,10,0.06,15,22,8,0.39,100.9
Keytronic Designer 104- Key Black Keyboard,Patrick Adcock,North America,3,10,0.09,40,12,20,0.77,306.4
Recycled Eldon Regeneration Jumbo File,Patrick Adcock,North America,3,10,0.05,12,1,6,0.57,0.24
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Sharon Payne,AsiaPac,2,7,0.01,7,14,2,0.38,34.26
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Kara Allison,North America,0,0,0.07,16,14,1,0.4,72.92
SC7868i,Joy Maxwell,North America,1,5,0.09,126,20,9,0.55,1150.2
Polycom VoiceStation 100,Eva Simpson,North America,2,7,0.05,301,20,14,0.06,16.1
Phone 918,Eva Simpson,North America,2,7,0.04,206,11,5,0.59,1241.3
Fellowes Mighty 8 Compact Surge Protector,Tommy Ellis Ritchie,North America,2,7,0.05,20,30,4,0.57,308
"Peel & Seel® Recycled Catalog Envelopes, Brown",Gordon Boswell,North America,2,7,0.05,12,6,7,0.35,14.6
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Sheryl Marsh,North America,2,7,0.01,7,3,2,0.38,5.77
"Master Giant Foot® Doorstop, Safety Yellow",Thelma Abrams,North America,4,15,0,8,43,4,0.42,140.48
Avery Heavy-Duty EZD ™ Binder With Locking Rings,Leslie Woodard,North America,4,15,0.02,6,42,3,0.37,85.2
Desktop 3-Pocket Hot File®,Leslie Woodard,North America,4,15,0.02,54,36,20,0.59,1088.08
DIXON Oriole® Pencils,Brenda Nelson Blanchard,North America,4,15,0.02,3,39,1,0.59,65.69
StarTAC Series,Brenda Nelson Blanchard,North America,4,15,0.02,66,27,4,0.55,940.46
Xerox 1932,Dana Rankin,North America,0,0,0.05,35,23,5,0.38,260.65
"Trav-L-File Heavy-Duty Shuttle II, Black",Aaron Day,North America,3,10,0.06,44,17,16,0.55,350.52
Economy Rollaway Files,Yvonne Mann,North America,3,10,0.05,165,167,20,0.59,14859.7
Model L Table or Wall-Mount Pencil Sharpener,Yvonne Mann,North America,3,10,0.09,18,71,9,0.57,604.44
DAX Clear Channel Poster Frame,Lucy Henry,AsiaPac,4,15,0.02,15,68,7,0.48,462.2
"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Eugene Kerr,North America,3,10,0.1,6,26,4,0.68,86.48
Avery 494,Eugene Kerr,North America,3,10,0.07,3,22,1,0.39,20.12
Staples Bulldog Clip,Roger Meyer,North America,2,7,0.02,4,40,1,0.39,58.2
Economy Rollaway Files,Lloyd Fuller,North America,3,10,0.05,165,42,20,0.59,3722.2
DAX Clear Channel Poster Frame,Hilda Bennett,North America,4,15,0.02,15,17,7,0.48,110.3
Avery 51,Gene Gilliam,North America,1,5,0.07,6,20,1,0.39,37.4
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Scott Moore,North America,1,5,0.04,181,3,30,0.69,322.95
"Bravo II™ Megaboss® 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Diana Coble Hubbard,North America,1,5,0.06,3,2,49,0.56,-46
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Diana Coble Hubbard,North America,1,5,0.01,111,19,14,0.69,1420.12
Advantus Map Pennant Flags and Round Head Tacks,Diana Coble Hubbard,North America,1,5,0.05,4,23,2,0.53,42.16
"Sanford Colorific Colored Pencils, 12/Box",Joanna Kenney,North America,1,5,0.04,3,39,1,0.55,58.67
"Avery Flip-Chart Easel Binder, Black",Willie Robinson,North America,1,5,0.04,22,18,15,0.38,119.64
"Seth Thomas 13 1/2"" Wall Clock",Willie Robinson,North America,1,5,0.06,18,3,5,0.54,20.92
Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,David Chang,AsiaPac,0,0,0.09,95,87,20,0.79,5765.5
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Jerome McIntosh,North America,1,5,0.09,7,13,8,0.58,36.59
Tennsco Industrial Shelving,Jerome McIntosh,North America,1,5,0.07,49,15,35,0.83,523.6
"80 Minute CD-R Spindle, 100/Pack - Staples",Monica Howard,North America,2,7,0.07,39,12,2,0.54,217.96
Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Neil Bailey,North America,0,0,0.09,95,22,20,0.79,1443
"Binney & Smith inkTank™ Erasable Pocket Highlighter, Chisel Tip, Yellow",Danny Richmond,North America,0,0,0.06,2,13,5,0.41,4.1
Rubber Band Ball,Cathy Shea,EMEA,1,5,0.06,4,46,1,0.83,140.68
GBC Binding covers,Norman Adams,North America,3,10,0.05,13,19,5,0.4,81.45
GBC Standard Therm-A-Bind Covers,Harriet Bowman,North America,1,5,0,25,1,13,0.39,-3.25
3M Organizer Strips,Floyd Dale,North America,2,7,0.09,5,8,8,0.05,-9.6
"Seth Thomas 8 1/2"" Cubicle Clock",Floyd Dale,North America,2,7,0.02,20,3,7,0.53,23.6
Newell 309,Floyd Dale,North America,2,7,0,12,5,2,0.55,31
Kleencut® Forged Office Shears by Acme United Corporation,Anna Wood,North America,2,7,0.05,2,20,3,0.55,17
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Michelle Bryant Phillips,North America,0,0,0.02,137,16,24,0.06,52.72
Rubber Band Ball,Stephanie Hawkins,North America,1,5,0.06,4,12,1,0.83,35.96
Grip Seal Envelopes,Judy Frazier,North America,0,0,0.06,4,3,5,0.38,-1.16
US Robotics 56K V.92 External Faxmodem,Sarah Bass,EMEA,3,10,0.09,100,6,20,0.52,238
"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",Wayne Bass,North America,0,0,0.09,6,81,2,0.51,202.12
US Robotics 56K V.92 External Faxmodem,Gary Hester,North America,3,10,0.09,100,1,20,0.52,23
i470,Gary Hester,North America,3,10,0.04,206,6,5,0.56,637.72
"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",Martha Bowers,North America,0,0,0.09,6,20,2,0.51,48.4
"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Eleanor Swain,North America,1,5,0.09,36,24,7,0.4,260.84
Xerox 1922,Eleanor Swain,North America,1,5,0.09,5,37,7,0.36,42.95
Canon PC1060 Personal Laser Copier,Jeanette Davies,North America,2,7,0.06,700,15,24,0.41,3651
Okidata ML395C Color Dot Matrix Printer,Harriet Wooten,North America,2,7,0.04,1360,6,15,0.59,4473
Xerox 1984,Alfred Harmon,North America,2,7,0.02,6,1,9,0.36,-6.96
Advantus Rolling Storage Box,Leo E Underwood,North America,2,7,0.02,17,11,5,0.58,99.72
Xerox 1979,Sandy Mueller,North America,2,7,0.07,31,12,9,0.4,113.76
Nu-Dell Executive Frame,Mark Ritchie,North America,1,5,0.07,13,16,5,0.48,80.28
"Tyvek ® Top-Opening Peel & Seel ® Envelopes, Gray",Calvin Boyette,North America,1,5,0.09,36,6,7,0.4,59.96
Tenex Antistatic Computer Chair Mats,Calvin Boyette,North America,1,5,0,171,7,14,0.75,883.75
Xerox 1922,Calvin Boyette,North America,1,5,0.09,5,9,7,0.36,5.15
Fluorescent Highlighters by Dixon,Marie Bass,North America,0,0,0.07,4,76,1,0.51,132.76
Xerox 1995,Mitchell H Beach,AsiaPac,3,10,0,6,48,5,0.37,101.56
Okidata ML320 Series Turbo Dot Matrix Printers,Leigh Burnette Hurley,North America,2,7,0.05,400,24,12,0.56,4884
Xerox 1994,Leigh Burnette Hurley,North America,2,7,0.07,6,20,6,0.37,30
Hon Olson Stacker Stools,Maxine Collier Grady,North America,0,0,0.08,141,81,24,0.57,5572.29
GBC ProClick Spines for 32-Hole Punch,Lynne Solomon Lawson,AsiaPac,2,7,0.08,13,28,7,0.38,102.2
Zoom V.92 USB External Faxmodem,Lynne Solomon Lawson,AsiaPac,2,7,0,50,65,20,0.41,1312.5
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Ted Oliver,AsiaPac,2,7,0.05,71,80,38,0.78,4108.4
Xerox 1939,Ted Oliver,AsiaPac,2,7,0.01,19,43,10,0.37,284.12
3M Organizer Strips,Lindsay Tate,North America,0,0,0.09,5,12,8,0.05,-10.4
"IBM 80 Minute CD-R Spindle, 50/Pack",Edward Bynum,North America,0,0,0,21,4,2,0.48,38.32
Fluorescent Highlighters by Dixon,Edward Bynum,North America,0,0,0.07,4,19,1,0.51,32.44
Xerox 1995,Jordan Beard,North America,3,10,0,6,12,5,0.37,21.64
Xerox 1994,Alfred Barber,North America,2,7,0.07,6,5,6,0.37,3
Zoom V.92 USB External Faxmodem,Eileen Dalton,North America,2,7,0,50,16,20,0.41,308
Xerox 1939,Russell Chan,North America,2,7,0.01,19,11,10,0.37,65.24
Epson LQ-870 Dot Matrix Printer,Ernest Peele,North America,2,7,0.05,536,2,15,0.59,563.88
Okidata ML520 Series Dot Matrix Printers,Wendy Pridgen Pearce,North America,2,7,0.04,510,3,15,0.56,780.6
"TOPS Voice Message Log Book, Flash Format",Wendy Pridgen Pearce,North America,2,7,0,5,23,3,0.36,38.4
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,George McLamb,North America,1,5,0.02,71,21,4,0.59,845.87
"Acme® 8"" Straight Scissors",Victoria Baker Hoover,North America,2,7,0.04,13,16,3,0.6,113.48
GBC Therma-A-Bind 250T Electric Binding System,Teresa Watts,North America,4,15,0.05,123,12,20,0.37,452.32
Ibico Hi-Tech Manual Binding System,Alison Sharp,North America,3,10,0.1,36,54,5,0.82,-117.6
Bell Sonecor JB700 Caller ID,Doris O'Connell Lu,AsiaPac,0,0,0.09,305,8,20,0.05,68.44
Hewlett-Packard 2600DN Business Color Inkjet Printer,Gretchen Maynard,AsiaPac,0,0,0.06,8,17,5,0.6,923.2
Avery 48,Seth Matthews,North America,2,7,0.05,120,24,56,0.39,30.5
Cardinal Holdit Business Card Pockets,Oscar Kenney,North America,4,15,0.04,6,15,1,0.39,27.3
Bell Sonecor JB700 Caller ID,Brenda May,North America,2,7,0.03,5,19,5,0.37,12.28
"Master Giant Foot® Doorstop, Safety Yellow",Edna Huang,North America,0,0,0.06,8,4,5,0.6,-1.04
Hewlett-Packard 2600DN Business Color Inkjet Printer,Frances Saunders,North America,1,5,0.05,8,1,4,0.42,188.8
"Quartet Alpha® White Chalk, 12/Pack",Andrew Levine,North America,2,7,0.05,120,6,56,0.39,24.08
Global Adaptabilities™ Conference Tables,Brett Hawkins,North America,4,15,0,2,33,1,0.38,750.8
Xerox 1976,Alexandra Wise,North America,2,7,0.1,281,5,36,0.66,24.78
Xerox 1928,Peter Brooks,North America,0,0,0.1,6,19,6,0.37,138.4
Artistic Insta-Plaque,Bob Berg,North America,4,15,0.02,5,76,6,0.4,107.52
"GE 4 Foot Flourescent Tube, 40 Watt",Bob Berg,North America,2,7,0.05,16,17,4,0.46,96.3
Xerox 1892,Bob Berg,North America,2,7,0,15,18,9,0.39,0.26
Artistic Insta-Plaque,Josephine Dalton,North America,2,7,0.02,39,1,13,0.36,107.52
T65,Josephine Dalton,North America,2,7,0.05,16,17,4,0.46,2006.96
Xerox 1928,Milton Harrell,North America,2,7,0.02,196,19,4,0.56,30.1
Xerox 1881,Penny Rich,North America,4,15,0.02,5,19,6,0.4,47.28
Bevis 36 x 72 Conference Tables,Herbert Holden,North America,3,10,0.01,12,12,6,0.38,240.64
Accessory17,Herbert Holden,North America,3,10,0.04,124,4,52,0.63,1394.68
HP Office Paper (20Lb. and 87 Bright),Gina Stokes,AsiaPac,3,10,0.06,7,57,7,0.37,116.69
Bevis 36 x 72 Conference Tables,Helen Simpson,North America,3,10,0.04,124,1,52,0.63,21.16
GBC Instant Index™ System for Binding Systems,Angela Howe,North America,3,10,0.1,9,15,6,0.35,27.75
HP Office Paper (20Lb. and 87 Bright),Bernard Thompson,North America,3,10,0.06,7,14,7,0.37,23.38
Xerox 199,Eileen Schwartz,North America,4,15,0.04,4,7,6,0.4,4.08
Bretford Rectangular Conference Table Tops,Eileen Schwartz,North America,4,15,0.06,376,13,86,0.74,3237.84
Bush Advantage Collection® Racetrack Conference Table,Eileen Schwartz,North America,4,15,0.06,424,17,110,0.67,4286.88
T28 WORLD,Eileen Schwartz,North America,4,15,0.06,196,4,9,0.6,414.36
Sharp 1540cs Digital Laser Copier,Edna Monroe Talley,North America,2,7,0.06,550,13,49,0.35,2024.5
2160,Edna Monroe Talley,North America,2,7,0.08,116,1,6,0.57,50.84
"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Pam Gilbert,North America,3,10,0.04,29,17,5,0.38,162.62
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Monica Stuart,North America,4,15,0.06,5,10,6,0.08,-5
Xerox 1916,Monica Stuart,North America,4,15,0.07,49,21,6,0.35,282.12
Global Troy™ Executive Leather Low-Back Tilter,Ronnie Proctor,North America,0,0,0.02,501,12,26,0.6,3460.96
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Nathan Stuart,AsiaPac,1,5,0.09,108,6,6,0.65,356.88
GBC Binding covers,Molly Watson,EMEA,1,5,0.09,13,85,5,0.4,337.55
GBC Standard Therm-A-Bind Covers,Molly Watson,EMEA,1,5,0,25,15,13,0.39,133.25
Avery 494,Donald Spears,AsiaPac,3,10,0.03,3,28,1,0.39,29.24
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Sam Woodward,North America,1,5,0.09,108,1,6,0.65,54.48
Xerox 1880,Dean Solomon,North America,1,5,0.04,35,11,20,0.38,110.9
GBC Binding covers,Marlene Kirk,North America,1,5,0.09,13,21,5,0.4,79.63
DAX Wood Document Frame.,Henry Ball,North America,0,0,0.03,14,4,7,0.54,21.56
Xerox 1888,Randall Boykin,North America,4,15,0.06,55,19,5,0.37,318.95
"Global High-Back Leather Tilter, Burgundy",Earl Watts,North America,4,15,0.1,123,17,70,0.74,1268.24
Avery 494,Lester Copeland,North America,3,10,0.03,3,7,1,0.39,6.56
"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",Lester Copeland,North America,3,10,0.01,12,16,8,0.58,101.44
Binder Clips by OIC,Sheryl Reese,North America,0,0,0,1,12,1,0.37,3.44
Bevis Round Conference Table Top & Single Column Base,Cheryl Honeycutt,AsiaPac,2,7,0.06,146,46,44,0.65,3918.44
"Sauder Forest Hills Library, Woodland Oak Finish",Jessica Thompson,AsiaPac,4,15,0,141,28,36,0.77,3003.96
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Geoffrey Rivera,North America,4,15,0.03,41,10,59,0.76,240.3
"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Geoffrey Rivera,North America,4,15,0,7,5,2,0.39,11.65
Epson C82 Color Inkjet Printer,Don Beard,North America,3,10,0.04,120,6,14,0.36,216.4
"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Jon Hale,North America,4,15,0.1,8,5,6,0.36,4.4
Bevis Round Conference Table Top & Single Column Base,Clyde Burnett,North America,2,7,0.06,146,12,44,0.65,989.68
12 Colored Short Pencils,Holly Rodriguez,AsiaPac,2,7,0.09,3,50,2,0.58,71.5
12 Colored Short Pencils,Rachel Casey,North America,2,7,0.09,3,12,2,0.58,15.64
Newell 323,Pauline Boyette,North America,3,10,0.1,2,11,2,0.59,8.78
Bevis 36 x 72 Conference Tables,Kristine Connolly,North America,2,7,0.08,124,56,52,0.63,3767.2
Bevis 36 x 72 Conference Tables,Walter Young,North America,2,7,0.08,124,14,52,0.63,902.8
Aluminum Document Frame,William Sharma,North America,1,5,0.09,12,9,3,0.55,46.68
Microsoft Natural Keyboard Elite,Kent Kerr,North America,1,5,0.1,40,21,4,0.7,500
Logitech Access Keyboard,Monica McCormick,North America,4,15,0.04,16,4,4,0.37,17.12
Xerox 1929,Monica McCormick,North America,4,15,0.06,23,20,5,0.39,146.8
Belkin ErgoBoard™ Keyboard,Vickie Martinez,North America,1,5,0.09,31,7,7,0.64,112.35
"80 Minute CD-R Spindle, 100/Pack - Staples",Courtney McBride,AsiaPac,4,15,0.04,39,70,2,0.54,1363
3M Hangers With Command Adhesive,Courtney McBride,AsiaPac,4,15,0.04,4,144,2,0.05,3.76
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Kristin George,North America,3,10,0.95,551,14,46,0.71,-1897.36
"80 Minute CD-R Spindle, 100/Pack - Staples",Charlie Moore,North America,4,15,0.04,39,18,2,0.54,349
3M Hangers With Command Adhesive,Charlie Moore,North America,4,15,0.04,4,36,2,0.05,-0.56
"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Emma Buckley,North America,0,0,0.06,5,7,5,0.64,15.3
Targus USB Numeric Keypad,Justin Frank,North America,3,10,0.09,41,19,7,0.74,499.35
Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Herbert Donnelly Swanson,North America,0,0,0.05,4,22,7,0.6,41.4
Rush Hierlooms Collection Rich Wood Bookcases,Larry Harding,AsiaPac,3,10,0.09,161,72,35,0.72,7267.96
Okidata ML395C Color Dot Matrix Printer,Toni Swanson,North America,4,15,0.02,1360,22,15,0.59,17039.4
Southworth 25% Cotton Linen-Finish Paper & Envelopes,Toni Swanson,North America,0,0,0.02,9,24,10,0.4,72.08
Rush Hierlooms Collection Rich Wood Bookcases,Randy Jiang,North America,3,10,0.09,161,18,35,0.72,1790.74
5165,Peggy Lanier,North America,3,10,0.09,176,22,5,0.59,1931
Okidata ML395C Color Dot Matrix Printer,Jimmy Alston Holder,North America,4,15,0.02,1360,6,15,0.59,4636.2
"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Jennifer Siegel,North America,4,15,0.06,48,11,4,0.71,339.2
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Kerry Beach,North America,4,15,0.06,60,18,10,0.57,540.8
T65,Kerry Beach,North America,4,15,0.07,196,4,4,0.56,380.16
Southworth 25% Cotton Linen-Finish Paper & Envelopes,Jimmy Alston Holder,North America,0,0,0.02,9,6,10,0.4,10.52
"Memorex 4.7GB DVD+R, 3/Pack",Kenneth Pollock,North America,3,10,0.03,15,19,2,0.42,109.15
Newell 326,Kenneth Pollock,North America,3,10,0.09,2,13,1,0.56,11.22
